広告管理 ＞ キャンペーン ＞ 広告主

"ID","広告主名","表示率","Imp","Click","CTR","CV","CVR","グロス","ネット","利益","CPC(グロス)","eCPM(グロス)"
"68","安心健康ライフ株式会社","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"70","ジェイフロンティア株式会社_シームレス","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"73","株式会社e.Cycle_TriggerEdge","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"75","株式会社イフス_TriggerEdge","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"76","株式会社フィフティナイン","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"77","株式会社GRACE_TriggerEdge","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"78","株式会社BIZENTO_TriggerEdge","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"81","株式会社aqugarage_UniQrazy","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"82","株式会社GRACE_UniQrazy","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"84","アスクレピオス製薬株式会社","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"87","株式会社MRZ_LINCREAD","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"88","株式会社メリーウェザー_LINCREAD","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"89","ホーイズム株式会社_LINCREAD","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"91","株式会社フロムココロ_LINCREAD","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"92","株式会社Libeiro_LINCREAD","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"93","ジェイフロンティア株式会社","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"94","株式会社ヘルスアップ_シームレス ","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"96","株式会社Rambut","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"97","株式会社アテナコーポレーション","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"99","株式会社BlueBird","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"103","株式会社フロムココロ","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"110","株式会社aqugarage_桑畑裕輔","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"111","株式会社GRACE_桑畑裕輔","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"114","株式会社GRACE","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"116","株式会社e.Cycle_柏山 雅一","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"117","ホーイズム株式会社","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"118","株式会社aqugarage_柏山 雅一","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"119","株式会社ファンファレ","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"121","ジェイフロンティア株式会社_柏山 雅一","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"122","株式会社ヘルスアップ_柏山 雅一","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"126","株式会社 W-ENDLESS","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"131","株式会社ファンクルン製薬_GMOメディア","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"132","日本ITビジネス研究所株式会社_GMOメディア","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"134","運営事務局","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"136","チュラコス株式会社","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"144","株式会社ヘルスアップ_TriggerEdge","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"148","アスクレピオス製薬株式会社","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"149","ハイローオーストラリア運営事務局","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
