広告管理 ＞ アフィリエイト ＞ キャンペーン

"キャンペーングループ","ID","キャンペーン名","サイズ","設定","原稿数","マージン","ステータス","Imp","Click","CTR","CV","CVR","グロス","ネット","利益","price","CPC(グロス)","eCPM(グロス)"
"3647 Odds Search(オッズサーチ)","15092","[SP]Odds Search(オッズサーチ)_インフィード小[5054-2]","ｲﾝﾌｨｰﾄﾞ_小","カテ",6,20,"オン",210219,40,"0.019%",1,"2.500%",484,388.02899999999994,95.971,0,12.1,2.3
"3541 Dr.Stick","14884","[PC/SP]Dr.Stick(TypeX)_レクタングル_バナー[cp_10]_1217","ﾚｸﾀﾝｸﾞﾙ","カテ",3,20,"オン",49070,29,"0.059%",0,"0",383,347.13599999999997,35.864,0,13.21,7.81
"2100 にじげんカノジョ_準一般","15702","【新】にじげんカノジョ_準一般_300*250_ADR_動画スクロール__fam146【GW】","ﾚｸﾀﾝｸﾞﾙ","カテ",37,30,"オン",13849,26,"0.188%",0,"0",360,252,108,0,13.85,25.99
"2100 にじげんカノジョ_準一般","15684","【新】にじげんカノジョ_準一般_300*250_IOS_動画スクロール_149(年確あり)【GW】","ﾚｸﾀﾝｸﾞﾙ","カテ",37,30,"オン",46521,21,"0.045%",0,"0",290,203,87,0,13.81,6.23
"3673 Plusmate(counsel)_準一般","15525","[準一般]Plusmate_320x100_ovl_バナー_iOS[counsel_直](fam_98)","ｵｰﾊﾞｰﾚｲ(320*100) ","",1,30,"オン",21269,19,"0.089%",0,"0",85.5,59.85,25.65,0,4.5,4.02
"3719 Plusmate(counsel2)_準一般","15710","[準一般]Plusmate_レクタングル【all】_動画スクロール_iOS[counsel2](fam_104)","ﾚｸﾀﾝｸﾞﾙ　全体紐づけ","",18,30,"オン",18828,70,"0.372%",0,"0",68.4,47.88,20.52,0,0.98,3.63
"3699 Plusmate【altema】","15405","[準一般]Plusmate_レクタングル_動画スクロール_ADR[counsel_直](fam_98)【ｽﾄｰﾘｰCR】【altema】","ﾚｸﾀﾝｸﾞﾙ","カテ",4,30,"オン",5493,5,"0.091%",0,"0",60,34.4845,25.5155,0,12,10.92
"3719 Plusmate(counsel2)_準一般","15722","[準一般]Plusmate_レクタングル【all】_動画スクロール_iOS[counse2l](fam_105)","ﾚｸﾀﾝｸﾞﾙ　全体紐づけ","",18,30,"オン",16979,59,"0.347%",0,"0",59,41.3,17.7,0,1,3.47
"3673 Plusmate(counsel)_準一般","15309","[準一般]Plusmate_レクタングル【all】_動画スクロール_ADR[counsel_直](fam_98)","ﾚｸﾀﾝｸﾞﾙ　全体紐づけ","",7,30,"オン",11498,55,"0.478%",1,"1.818%",55,38.49999999999999,16.5,0,1,4.78
"3719 Plusmate(counsel2)_準一般","15711","[準一般]Plusmate_レクタングル【all】_動画スクロール_ADR[counsel2](fam_104)","ﾚｸﾀﾝｸﾞﾙ　全体紐づけ","",18,30,"オン",8060,55,"0.682%",0,"0",54.2,37.94,16.26,0,0.99,6.72
"3673 Plusmate(counsel)_準一般","15310","[準一般]Plusmate_レクタングル【all】_動画スクロール_iOS[counse_直l](fam_98)","ﾚｸﾀﾝｸﾞﾙ　全体紐づけ","",7,30,"オン",20492,54,"0.264%",0,"0",54,37.800000000000004,16.2,0,1,2.64
"3719 Plusmate(counsel2)_準一般","15723","[準一般]Plusmate_レクタングル【all】_動画スクロール_ADR[counsel2](fam_105)","ﾚｸﾀﾝｸﾞﾙ　全体紐づけ","",18,30,"オン",7305,44,"0.602%",0,"0",44,30.79999999999999,13.2,0,1,6.02
"3673 Plusmate(counsel)_準一般","15526","[準一般]Plusmate_320x100_ovl_バナー_ADR[counsel_直](fam_98)","ｵｰﾊﾞｰﾚｲ(320*100) ","",1,30,"オン",7168,9,"0.126%",0,"0",33,23.1,9.9,0,3.67,4.6
"3698 Plusmate【Gamerch】","15486","[一般]Plusmate_レクタングル_動画スクロール_ADR[counsel_直](fam_98)【Gmc】","ﾚｸﾀﾝｸﾞﾙ","カテ",11,30,"オン",4758,2,"0.042%",0,"0",30,21,9,0,15,6.31
"3360 アナザーヒロイン_準一般","15607","【新】アナザーヒロイン_準一般_300*250_ADR_動画スクロール_fam_41(GW用)","ﾚｸﾀﾝｸﾞﾙ","カテ",2,30,"オン",9453,5,"0.053%",0,"0",29,20.3,8.7,0,5.8,3.07
"2100 にじげんカノジョ_準一般","15656","【新】にじげんカノジョ_準一般_300*250_ADR_動画スクロール_fam146_ファインドバナー【GW】","ﾚｸﾀﾝｸﾞﾙ","カテ",6,30,"オン",2410,3,"0.124%",0,"0",12,8.399999999999999,3.6,0,4,4.98
"309 テスト用","14538","動画スクロール_HTMLスクラッチ","ﾚｸﾀﾝｸﾞﾙ","カテ",1,20,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"309 テスト用","14539","ジッパーアド_HTMLスクラッチ","ﾚｸﾀﾝｸﾞﾙ","カテ",1,20,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"309 テスト用","14540","動画スクロール（ストーリー）_HTMLスクラッチ","ﾚｸﾀﾝｸﾞﾙ","カテ",1,20,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"911 リタゲグループテスト_2","3416","911 	リタゲグループテスト_2","ﾚｸﾀﾝｸﾞﾙ","リカテ",1,0,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"989 ブログサービス配信用","3764","ブログサービス配信用","ﾚｸﾀﾝｸﾞﾙ","カテ",1,20,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"989 ブログサービス配信用","5546","ブログサービス配信用_オーバーレイ_320*50","ｵｰﾊﾞｰﾚｲ(320*50)","カテ",1,0,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"309 テスト用","9860","クライアントバック","ﾚｸﾀﾝｸﾞﾙ","カテ",1,20,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"309 テスト用","11570","スクリーンアド_インフィード","ｲﾝﾌｨｰﾄﾞ_小","カテ",2,0,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1281 RT_電子書籍TOP_30day ","4828","RT_電子書籍TOP_30day_おねえさんとなつ_And_レクタングル_準一般","ﾚｸﾀﾝｸﾞﾙ","リカテ",1,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1281 RT_電子書籍TOP_30day ","4831","RT_電子書籍TOP_30day_ヌルネバ☆スイ_And_レクタングル_準一般","ﾚｸﾀﾝｸﾞﾙ","リカテ",1,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1281 RT_電子書籍TOP_30day ","4832","RT_電子書籍TOP_30day_ 今泉ん家はどう_And_レクタングル_準一般","ﾚｸﾀﾝｸﾞﾙ","リカテ",1,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1281 RT_電子書籍TOP_30day ","4834","RT_電子書籍TOP_30day_冬虫夏草6_And_レクタングル_準一般","ﾚｸﾀﾝｸﾞﾙ","リカテ",1,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1281 RT_電子書籍TOP_30day ","4835","RT_電子書籍TOP_30day_催●性指導 総集_And_レクタングル_準一般","ﾚｸﾀﾝｸﾞﾙ","リカテ",1,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1281 RT_電子書籍TOP_30day ","4836","RT_電子書籍TOP_30day_催●性指導 総集_Ios_レクタングル_準一般","ﾚｸﾀﾝｸﾞﾙ","リカテ",1,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1281 RT_電子書籍TOP_30day ","4837","RT_電子書籍TOP_30day_冬虫夏草6_Iosレクタングル_準一般","ﾚｸﾀﾝｸﾞﾙ","リカテ",1,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1281 RT_電子書籍TOP_30day ","4838","RT_電子書籍TOP_30day_今泉ん家は_Ios_レクタングル_準一般","ﾚｸﾀﾝｸﾞﾙ","リカテ",1,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
