広告管理 ＞ アフィリエイト ＞ キャンペーン

"キャンペーングループ","ID","キャンペーン名","サイズ","設定","原稿数","マージン","ステータス","Imp","Click","CTR","CV","CVR","グロス","ネット","利益","price","CPC(グロス)","eCPM(グロス)"
"651 LAND_IOS_CP","2700","WL_裏垢フラグ_LAND_レクタングル_IOS","ﾚｸﾀﾝｸﾞﾙ","アカテ",8,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"651 LAND_IOS_CP","2701","WL_MultiLive_LAND_レクタングル_IOS","ﾚｸﾀﾝｸﾞﾙ","アカテ",7,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"756 LIVECHAT.CLUB","3029","LCC_Android_Banner320x100","320*100","ア均",3,20,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"756 LIVECHAT.CLUB","3030","LCC_iPhone_Banner320x100","320*100","ア均",3,20,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"309 テスト用","11412","スクリーンアド_表示確認用","ﾚｸﾀﾝｸﾞﾙ","アカテ",1,20,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1070 RT_COMP購入ALL_30day","4065","RT_COMP購入ALL_30day『500円で10分パンツ見せます』。_And_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1070 RT_COMP購入ALL_30day","4066","RT_COMP購入ALL_30day教会と異端者一家_SZAZ_And_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1070 RT_COMP購入ALL_30day","4067","RT_COMP購入ALL_30dayヌルネバ☆スイマ～！！_And_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1070 RT_COMP購入ALL_30day","4068","RT_COMP購入ALL_30dayマグロメイドとめちゃしこたまえっち_SZAZ_And_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1070 RT_COMP購入ALL_30day","4069","RT_COMP購入ALL_30dayワイルド式日本人妻の寝取り方 其ノ一_SZAZ_And_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1070 RT_COMP購入ALL_30day","4070","RT_COMP購入ALL_30day俺をイジメてた元ヤン美人妻に復讐中出し！_And_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1070 RT_COMP購入ALL_30day","4071","RT_COMP購入ALL_30day鬼ヶ島VS種付けおじさん_And_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1070 RT_COMP購入ALL_30day","4072","RT_COMP購入ALL_30day催●性指導 総集編_And_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1070 RT_COMP購入ALL_30day","4073","RT_COMP購入ALL_30day催●性指導 総集編_SZAZ_And_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1070 RT_COMP購入ALL_30day","4074","RT_COMP購入ALL_30day冬虫夏草6～親友の姉妹を貪る夏～_And_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1070 RT_COMP購入ALL_30day","4075","RT_COMP購入ALL_30day『500円で10分パンツ見せます』。_iOS_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
